Date,Open,High,Low,Close,Adj Close,Volume
2023-04-01,5200.000000,5425.000000,5050.000000,5175.000000,4923.215820,1299828600
2023-05-01,5175.000000,5250.000000,4980.000000,5050.000000,4804.297363,2053623000
2023-06-01,5050.000000,5250.000000,4950.000000,5200.000000,4946.999512,1800300100
2023-07-01,5125.000000,5800.000000,5125.000000,5725.000000,5446.456055,2190789600
2023-08-01,5650.000000,6100.000000,5600.000000,6025.000000,5731.859863,1840293300
2023-09-01,6075.000000,6150.000000,5775.000000,6025.000000,5731.859863,1413167200
2023-10-01,6025.000000,6200.000000,5625.000000,5675.000000,5398.888672,1572859200
2023-11-01,5700.000000,5975.000000,5625.000000,5850.000000,5565.374512,1150273100
2023-12-01,5850.000000,6150.000000,5650.000000,6050.000000,5755.643555,1469376300
2024-01-01,6050.000000,6700.000000,6025.000000,6650.000000,6326.451172,1955582700
2024-02-01,6575.000000,7400.000000,6500.000000,7000.000000,6659.422363,2064026600
2024-03-01,7050.000000,7500.000000,6950.000000,7250.000000,6897.258789,1770671300
2024-04-01,null,null,null,null,null,null
